StoreNumber,BatchNumber,SKU,ONHAND,ScannedCnt,Diff,BatchPass,BatchPassDecr,DateCreated
111,1,1,4,3,1,3,Variance 1,2022-08-08 16:33:12.540
111,1,3,12,12,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,47,49,47,2,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2,11,8,3,3,Variance 1,2022-08-08 16:33:12.540
111,1,1,7,7,0,3,Variance 1,2022-08-08 16:33:12.540
111,1,10,20,20,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,1,3,2,1,3,Variance 1,2022-08-08 16:33:12.540
111,1,16,48,48,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,1,7,6,1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,1,12,9,3,3,Variance 1,2022-08-08 16:33:12.540
134,5,11,55,55,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1,9,8,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,47,53,47,6,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,13,55,52,3,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1,8,7,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,36,110,108,2,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2,12,12,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,49,105,98,7,1,Batch Pass 1,2022-08-12 10:49:56.250
134,4,38,80,76,4,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2,16,12,4,6,Variance 4,2022-08-11 18:08:04.930
134,4,16,16,0,16,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6,17,0,17,6,Variance 4,2022-08-11 18:08:04.930
134,4,17,54,51,3,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,4,18,12,6,6,Variance 4,2022-08-11 18:08:04.930
134,4,2,12,12,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,136,140,136,4,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6,17,6,11,6,Variance 4,2022-08-11 18:08:04.930
134,4,7,28,28,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2,12,8,4,6,Variance 4,2022-08-11 18:08:04.930
134,4,2,7,2,5,8,Variance 4 Supplement,2022-08-12 10:49:56.250
134,4,1,2,2,0,6,Variance 4,2022-08-11 18:08:04.930
134,4,7,35,35,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,1,7,8,-1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,1,8,8,0,6,Variance 4,2022-08-11 18:08:04.930
134,3,5,18,0,18,5,Varaince 3,2022-08-10 13:08:03.160
134,3,132,138,132,6,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,2,15,14,1,5,Varaince 3,2022-08-10 13:08:03.160
134,3,1,13,14,-1,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,2,6,2,4,5,Varaince 3,2022-08-10 13:08:03.160
134,3,38,78,76,2,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,4,20,20,0,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,1,12,12,0,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,1,16,15,1,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,12,12,0,12,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,2,9,4,5,5,Varaince 3,2022-08-10 13:08:03.160
134,3,17,54,51,3,1,Batch Pass 1,2022-08-10 12:35:39.177
134,3,3,18,18,0,1,Batch Pass 1,2022-08-10 12:35:39.177
