StoreNumber,BatchNumber,SKU,ONHAND,ScannedCnt,Diff,BatchPass,BatchPassDecr,DateCreated
111,1,2266209,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3052463,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,38548680,3,2,1,3,Variance 1,2022-08-08 16:33:12.540
111,1,55327739,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7830832,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8069163,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8401206,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8569555,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8713539,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8929290,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9095883,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9218329,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9371711,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9476992,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9513744,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9558194,4,3,1,3,Variance 1,2022-08-08 16:33:12.540
111,1,9816809,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9843274,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9843984,7,7,0,3,Variance 1,2022-08-08 16:33:12.540
111,1,2221591,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2465600,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3054299,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3482339,2,1,1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,6655044,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7359276,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7572717,4,4,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8072449,2,3,-1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8366030,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8475619,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8593705,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9035774,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9066092,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9069789,5,4,1,3,Variance 1,2022-08-08 16:33:12.540
111,1,9069819,12,9,3,3,Variance 1,2022-08-08 16:33:12.540
111,1,9228013,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9228108,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9240577,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9310045,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9374524,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9606868,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9679487,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9816016,4,4,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,15600480,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2152886,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2500925,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2628526,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3118025,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,6917761,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7742837,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7809601,7,6,1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8286848,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8746351,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8818134,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8901576,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8954863,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8959376,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9034458,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9338281,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9477815,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,1245736,4,4,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,14056788,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2210693,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,2964375,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3206626,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3206693,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,3358342,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,5836907,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7114515,4,3,1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7301906,2,1,1,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,7658713,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8046522,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8367947,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8788614,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8799408,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8901773,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,8954452,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9228734,6,4,2,3,Variance 1,2022-08-08 16:33:12.540
111,1,9237503,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9374309,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9557004,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9557775,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9609422,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9816385,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
134,5,2086264,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2154534,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2519008,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,5826277,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,5838998,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,6715425,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,67988181,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7744053,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8027073,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8206993,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8268825,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8273001,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8597297,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8868245,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8903514,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8935996,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9079771,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9111816,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9142327,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9174771,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9189749,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
