WOTC CustID|LocCode|LocName|Loc_Address1|Loc_Address2|Loc_City|Loc_State|Loc_Zipcode|Loc_Phone
7763|undefined|0001|Books-A-Million Corp|402 Industrial Lane||Birmingham|AL|35211|
7763|undefined|0002|AWBC Florence|4350 Bryson Blvd||Florence|AL|35630|
7763|undefined|0003|AWBC BHAM|402 Industrial Lane||Birmingham|AL|35211|
7763|undefined|0004|Nashville|1897 General George Patton Dr|Ste. 106|Franklin|TN|37067|
7763|undefined|0005|American Internet Services|402 Industrial Lane||Birmingham|AL|35211|
7763|undefined|0006|Book Smart|602 John Aldridge Avenue||Tuscumbia|AL|35674|
7763|undefined|0007|CORP Irondale|131 25th Street South||Irondale|AL|35210|
7763|undefined|0010|Yogurt Mountain Home Office|402 Industrial Lane||Birmingham|AL|35211|
7763|undefined|0105|105 Abilene, TX BAM|4310 Buffalo Gap Road, #3500||Abilene|TX|79606|
7763|undefined|0106|106 Acworth, GA BAM|3372 North Cobb Parkway, Suite||Acworth|GA|30101|
7763|undefined|0108|108 Bham-Alabaster, AL BAM|300 Colonial Promenade Pky #10||Alabaster|AL|35007|
7763|undefined|0109|109 Aiken, SC BAM|1650 Richland Ave West #195||Aiken|SC|29801|
7763|undefined|0111|111 Albany, GA BAM|2601 Dawson Road, Space 3||Albany|GA|31707|
7763|undefined|0114|114 Aiken, SC|2441 Whiskey Road||Aiken|SC|29803|
7763|undefined|0116|116 Alexandria, LA BAM|3660 North Boulevard||Alexandria|LA|71301|
7763|undefined|0117|117 Alexandria-Old Town, VA BA|503 King Street||Alexandria|VA|22314|
7763|undefined|0118|118 Alexandria-Penn, VA BAM|6230-I N. Kings Highway||Alexandria|VA|22303|
7763|undefined|0119|119 Ames, IA BAM|1200 South Duff Ave||Ames|IA|50010|
7763|undefined|0124|124 Anderson, SC BAM|3423 Clemson Boulevard, Suite||Anderson|SC|29621|
7763|undefined|0134|134 Arundel Mills, MD BAM|7000 Arundel Mills Circle Spac||Hanover|MD|21076|
7763|undefined|0138|138 Asheville, NC BAM|136 South Tunnel Road||Asheville|NC|28805|
7763|undefined|0139|139 Asheboro, NC BAM|130 Randolph Mall||Asheboro|NC|27205|
7763|undefined|0149|149 Atlanta, GA BAM|5900 Sugarloaf Pkwy Space 321||Lawrenceville|GA|30043|
7763|undefined|0153|153 Auburn, ME BAM|550 Center Street||Auburn|ME|04210|
7763|undefined|0154|154 Auburn Hills, MI BAM|4230 Baldwin Road||Auburn Hills|MI|48326|
7763|undefined|0155|155 Aurora, IL BAM|195 Fox Valley Center|Space A-1|Aurora|IL|60504|6305857027
7763|undefined|0158|158 Barboursville, WV BAM|120 Mall Rd.||Barboursville|WV|25504|
7763|undefined|0159|159 Butler, PA BAM|101 Clearview Circle||Butler|PA|16001|
7763|undefined|0161|161 Augusta, GA BAM|2834 Washington Road||Augusta|GA|30909|
7763|undefined|0163|163 Bangor, ME BAM|116 Bangor Mall Blvd||Bangor|ME|04401|
7763|undefined|0167|167 Baton Rouge, LA BAM|2380 Towne Center Blvd||Baton Rouge|LA|70806|
7763|undefined|0169|169 Baton Rouge-Siegen, LA BAM|10533 South Mall Drive||Baton Rouge|LA|70809|
7763|undefined|0171|171 Beckley, WV BAM|1264 N. Eisenhower Drive||Beckley|WV|25801|
7763|undefined|0172|172 Beaumont, TX BAM|6155 Eastex Freeway - Suite C-||Beaumont|TX|77706|
7763|undefined|0174|174 Beverly Hills, MI BAM|31150 Southfield Road||Beverly Hills|MI|48025|248-723-7106
7763|undefined|0176|176 Biloxi, MS BAM|2650 Beach Blvd. Suite 45||Biloxi|MS|39531|
7763|undefined|0180|180 Birmingham Books & Co|757 Brookwood Village||Birmingham|AL|35209|
7763|undefined|0181|181 Bham Brookhighland, AL BAM|5287 Highway 280 South - #221||Birmingham|AL|35242|
7763|undefined|0197|197 Bham English Village Joe M|2037 Cahaba Road||Mountain Brook|AL|35223|
7763|undefined|0202|202 Bham-Hoover, AL BAM|1615 Montgomery Highway - Suit||Hoover|AL|35216|
7763|undefined|0206|206 Bluefield, WV BAM|261 Mercer Mall Road|Space 305|Bluefield|WV|15301|
7763|undefined|0216|216 Bham-Trussville, AL BAM|1624 Gadsden Hwy||Birmingham|AL|35235|
7763|undefined|0219|219 Bham-Summit, AL JM|238 Summit Blvd Ste. 219||Birmingham|AL|35243|
7763|undefined|0220|220 Bham Wildwood, AL BAM|140 Wildwood Parkway||Birmingham|AL|35209|
7763|undefined|0222|222 Bridgeport, WV|2399 Meadowbrook Road|Unit 150|Bridgeport|WV|26330|
7763|undefined|0224|224 Brandon, FL BAM|839 Brandon Town Center Mall||Brandon|FL|33511|
7763|undefined|0225|225 Bradenton, FL BAM|4225 14th Street West - US 41||Bradenton|FL|34205|
7763|undefined|0226|226 Bristol, VA BAM|16700 Highlands Center Blvd||Bristol|VA|24202|
7763|undefined|0228|228 Burlington, NC BAM|137 Huffman Mill Road||Burlington|NC|27215|
7763|undefined|0230|230 Brunswick, GA BAM|163 Golden Isles Plaza||Brunswick|GA|31520|
7763|undefined|0231|231 Branson, MO|985 Branson Hills Parkway||Branson|MO|65616|
7763|undefined|0232|232 Canton, GA BAM|1810 Ciumming Highway|Suite 610|Canton|GA|30114|
7763|undefined|0233|233 N. Canton, OH BAM|6751 Strip Ave NW||N. Canton|OH|44720|
7763|undefined|0234|234 Charleston, WV BAM|2107 Charleston Town Center||Charleston|WV|25389|
7763|undefined|0236|236 Charlotte, NC BAM|14151 Steele Creek Road Stuie||Charlotte|NC|28273|
7763|undefined|0237|237 Charlotte, NC BAM|330 South Sharon Amity Road||Charlotte|NC|28211|
7763|undefined|0238|238 Charleston, SC BAM|832 Orleans Road||Charleston|SC|29407|
